Tema,Información
¿Sabías que puedes solicitar más de una beca?,Explora las opciones disponibles y aprovecha los distintos apoyos que la UNAM y la FCA ofrecen para impulsar tu trayectoria académica. Síguenos en Facebook Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca Alimenticia,Convocatoria: https://www.fca.unam.mx/estudiante/docs/becas/CONVOCATORIA_BECA_ALIMENTICIA_2026-2.pdf | Formato Beca: https://www.fca.unam.mx/estudiante/docs/becas/FORMATO_BECA_ALIMENTICIA_20262.docx | Resultados: https://www.fca.unam.mx/estudiante/becas.php# | Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM: https://www.becarios.unam.mx/Portal2018/
Beca para Titulación,Dirigida a: Egresados de licenciatura que realizarán su proceso de titulación. Correo: becas_titulacion@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca de Alta Exigencia Académica,Dirigida a: Alumnos con desempeño académico destacado. Correo: becariospfel@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca Manuela Garín Pinillos Manutención UNAM,Apoyo económico para alumnas en situación vulnerable. Correo: dgoae.beca.manutencion@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca Matilde Montoya Lafragua,Apoyo a estudiantes destacadas en su formación profesional. Correo: dgoae.becamontoya@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Programa de Apoyo Nutricional,Brinda apoyo alimentario a estudiantes en situación económica difícil. Correo: apoyonutricional@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca para Alumnas y Alumnos en Situación de Discapacidad,Apoyo económico y académico para estudiantes con discapacidad. Correo: becadiscapacidad@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca para Disminuir el Bajo Rendimiento Académico (BDBRA),Apoya a estudiantes con rezago escolar para mejorar su rendimiento. Correo: beca_bdbra@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca para Grupos Vulnerables de Zonas Marginadas,Apoya a estudiantes provenientes de contextos socioeconómicos complejos. Correo: beca.gruposvulnerables@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
Beca Ifigenia Martínez – Apoyo para la Alimentación,Otorga apoyo económico para cubrir necesidades alimenticias básicas. Correo: becaifigenia@unam.mx Consulta periódicamente las próximas convocatorias en el portal de Becarios UNAM
