Sección,Tema,Información
Generalidades,¿qué es el servicio social?,se entiende por servicio social universitario la realización obligatoria de actividades temporales que ejecuten los estudiantes de carreras técnicas y profesionales...
Generalidades,misión,contribuir a la formación integral del estudiante universitario...
Generalidades,visión,el servicio social será una oportunidad de cooperación incluyente y de reciprocidad...
Generalidades,objetivos,impulsar el desarrollo profesional y humano del pasante...
Generalidades,cancelación de programas de servicio social registrados ante la unam.,"los programas de servicio social, registrados en el sistema integral automatizado de servicio social y prácticas profesionales por el departamento de servicio social de la fca..."
Generalidades,motivos para la cancelación del registro de servicio social.,se podrá solicitar la baja de los alumnos inscritos en programas de servicio social cuando:
registro del servicio social,Programas Internos de la FCA,"Programas Internos de la FCA Servicio Social · Información para estudiantes El estudiante que elija esta opción de servicio social tendrá que contar con 50% de créditos totales de su licenciatura. Consulta de programas Lo primero que tendrá que hacer es consultar los programas de la FCA en donde podrá llevar a cabo su servicio social y así establecer contacto con el coordinador directo del mismo: Ver lista de programas (PDF) Toma nota de estos datos: Nombre del programa Clave del programa Nombre del responsable y cargo Correo del responsable del programa de servicio social. Proceso de registro de Servicio Social (Programas FCA) Los estudiantes de la FCA que deban realizar el registrar su servicio social deberán llevar en una memoria USB al Departamento de Servicio Social la siguiente información y documentación: 1) Archivo en formato Word Incluye los siguientes campos: Nombre completo (apellido paterno, apellido materno y nombre(s)) Número de cuenta Licenciatura Generación de ingreso a la licenciatura (revisar en historial académico). Sistema (Escolarizado, SUA o SUAYED) Correo 2) Documentos adjuntos en la carpeta Carta de aceptación (bajar formato) Es la hoja membretada expedida por el área de la FCA en donde decidiste realizar tu servicio social, dirigida al Departamento de Servicio Social de la Facultad (atención a la Mtra. Yazmín Yazareth Yáñez Yllán, jefa del Departamento de Servicio Social de la Facultad de Contaduría y Administración) y que deberá contener la siguiente información: Notificación de que has sido aceptado para realizar tu servicio social. Nombre del estudiante, número de cuenta, licenciatura y sistema de estudio (escolarizado, abierto o a distancia). Clave y nombre del programa de servicio social. El periodo y horario en que cubrirás y el número de horas que cubrirás diariamente (mínimo 3 horas y máximo 5 horas de lunes a viernes y programas de fin de semana podrán registrarse hasta 8 horas por día) hasta cumplir 480 hrs en un periodo no menor a 6 meses. Nombre del coordinador de tú coordinador directo. Modalidad en que llevarás acabo el servicio social (presencial, semipresencial o a distancia). Nombre, cargo y firma del coordinador directo (responsable del programa de servicio social). Mínimo 5 actividades que llevará acabo el estudiante durante la prestación de su servicio social. Fotografía tamaño infantil Fotografía digital del estudiante en tamaño infantil (3 x 2.5 cm), blanco/negro o/u a color con fondo blanco en formato jpg. Credencial Imagen de la credencial de la UNAM o INE del estudiante. NOTA: Los archivos en formato digital, deberán de estar contenidos en dentro de una carpeta con el nombre: “Registro en una USB. El prestador de servicio social sólo contará con sólo 10 días hábiles tomando como fecha de referencia la de inicio en su carta de aceptación para poder realizar dicho trámite, de lo contario este quedará cancelado. Los archivos digitales deben ir dentro de una carpeta llamada “Registro” en una USB. Tienes 10 días hábiles a partir de la fecha de inicio en tu carta de aceptación para realizar el trámite; de lo contrario, se cancela. Programas FCA (PDF) Carta de aceptación (DOC) | Enlaces de apoyo: Ver lista de programas (PDF): https://www.fca.unam.mx/docs/servicio_social/programas_2025_v2.pdf | (bajar formato): https://www.fca.unam.mx/recursos/servicio_social/aceptacion_programas_fca_2026.doc | Programas FCA (PDF): https://www.fca.unam.mx/docs/servicio_social/programas_2025_v2.pdf | Carta de aceptación (DOC): https://www.fca.unam.mx/estudiante/recursos/servicio_social/Aceptacion_programas_FCA_2026.doc"
registro del servicio social,Programas de otras intancias UNAM,"Programas de otras intancias UNAM Servicio Social · Guía para estudiantes Debes contar con mínimo 60% de créditos de tu licenciatura. Consulta de programas UNAM Revisa los programas disponibles y contacta al coordinador directo. Abrir SIASSYPP Toma nota de: Nombre del programa Clave del programa Responsable y cargo Proceso de registro de Servicio Social (otras instancias UNAM) 1) Archivo en formato Word Incluye: Nombre completo (apellido paterno, materno y nombre(s)) Número de cuenta Licenciatura Generación de ingreso a la licenciatura Sistema (Escolarizado, SUA o SUAYED) Correo 2) Documentos adjuntos en la carpeta Carta de aceptación (bajar formato) Notificación de aceptación Nombre del estudiante, número de cuenta, licenciatura y sistema Clave y nombre del programa Nombre del coordinador directo Periodo, horario y horas diarias (3–5 h L–V; fines hasta 8 h) hasta 480 h en ≥ 6 meses Modalidad: presencial, semipresencial o a distancia Mínimo 5 actividades del prestador (según SIASSYPP y tu licenciatura) Nombre, cargo y firma del coordinador directo Fotografía tamaño infantil Digital, 3 × 2.5 cm, B/N o color, fondo blanco, formato JPG. Credencial Imagen de credencial UNAM o INE. 3) Solicitud de carta de presentación Llena la solicitud con los datos del programa en SIASSYPP y entrégala en el Departamento de Servicio Social. Imprimir carta de presentación (DOCX) Tiempo de entrega estimado: hasta 3 días hábiles. Los archivos digitales deben ir en una carpeta llamada ""Registro"" dentro de una USB. Cuentas con 10 días hábiles desde la fecha de inicio en tu carta de aceptación para completar el trámite; de lo contrario, se cancela. Abrir SIASSYPP Carta de aceptación (DOCX) Carta de presentación (DOCX) | Enlaces de apoyo: Abrir SIASSYPP: https://siassypp.unam.mx/ | (bajar formato): https://www.fca.unam.mx/docs/servicio_social/aceptacion_unam_v3.doc | Imprimir carta de presentación (DOCX): https://www.fca.unam.mx/docs/servicio_social/carta_presentacion_externo_v2.docx | Abrir SIASSYPP: https://siassypp.unam.mx/ | Carta de aceptación (DOCX): https://www.fca.unam.mx/docs/servicio_social/aceptacion_unam_v3.doc | Carta de presentación (DOCX): https://www.fca.unam.mx/docs/servicio_social/carta_presentacion_externo_v2.docx"
registro del servicio social,PROGRAMAS INSTITUCIONES PÚBLICAS O A.C.,"PROGRAMAS INSTITUCIONES PÚBLICAS O A.C. Servicio Social · Guía para estudiantes Debes contar con mínimo 70% de créditos de tu licenciatura. Consulta de programas Revisa opciones en instituciones públicas o asociaciones civiles y contacta al coordinador directo. Abrir SIASSYPP Toma nota de: Nombre del programa Clave del programa Responsable y cargo Proceso de registro (Instituciones externas / A.C.) 1) Archivo en formato Word Incluye: Nombre completo (apellido paterno, materno y nombre(s)) Número de cuenta Licenciatura Generación de ingreso a la licenciatura Sistema (Escolarizado, SUA o SUAYED) Correo 2) Documentos adjuntos en la carpeta Carta de aceptación (bajar formato) Notificación de aceptación Nombre del estudiante, número de cuenta, licenciatura y sistema Clave y nombre del programa Nombre del coordinador directo Periodo, horario y horas diarias (3–5 h L–V; fines hasta 8 h) hasta 480 h en ≥ 6 meses Modalidad: presencial, semipresencial o a distancia Mínimo 5 actividades del prestador (según SIASSYPP y tu licenciatura) Nombre, cargo y firma del coordinador directo Fotografía tamaño infantil Digital, 3 × 2.5 cm, B/N o color, fondo blanco, formato JPG. Credencial Imagen de credencial UNAM o INE. 3) Solicitud de carta de presentación Llena la solicitud con datos del programa en SIASSYPP y entrégala al Departamento de Servicio Social. Imprimir carta de presentación (DOCX) Entrega estimada: hasta 3 días hábiles. Los archivos digitales deben ir en una carpeta llamada ""Registro"" dentro de una USB. Cuentas con 10 días hábiles desde la fecha de inicio en tu carta de aceptación para completar el trámite; de lo contrario, se cancela. Abrir SIASSYPP Carta de aceptación (DOC) Carta de presentación (DOCX) | Enlaces de apoyo: Abrir SIASSYPP: https://siassypp.unam.mx/ | (bajar formato): https://www.fca.unam.mx/docs/servicio_social/aceptacion_externos_v4.doc | Imprimir carta de presentación (DOCX): https://www.fca.unam.mx/docs/servicio_social/carta_presentacion_externo_v2.docx | Abrir SIASSYPP: https://siassypp.unam.mx/ | Carta de aceptación (DOC): https://www.fca.unam.mx/docs/servicio_social/aceptacion_externos_v4.doc | Carta de presentación (DOCX): https://www.fca.unam.mx/docs/servicio_social/carta_presentacion_externo_v2.docx"
registro del servicio social,SERVICIO SOCIAL · ARTÍCULO 28,"SERVICIO SOCIAL · ARTÍCULO 28 Alumnos exentos de presentar Servicio Social. El alumnado y las personas egresadas no tituladas, que opte por esta opción de servicio social tendrá que contar con mínimo 70% de créditos de tu licenciatura. Requisitos y documentación El alumnado y las personas egresadas no tituladas, que cuenten con una edad mínima de 60 años o con alguna enfermedad grave que les impida la realización del servicio social universitario avalada por una institución del sector salud podrán optar por su exención de acuerdo con los siguientes requisitos. Los estudiantes de la FCA que deseen registrar su Servicio Social por Artículo 28, deberán llevar en una memoria USB al Departamento de Servicio Social la siguiente información y documentación: 1) Por edad (≥ 60 años) Archivo en formato Word Nombre completo (ap. paterno, ap. materno y nombre(s)) Número de cuenta Licenciatura Generación de ingreso a la licenciatura (revisar en historial académico). Sistema (Escolarizado, SUA o SUAYED) Correo Documentos Original y copia: Acta de nacimiento CURP INE Otros: Carta de solicitud de exención de servicio social. Fotografía tamaño infantil.Digital, 3 × 2.5 cm, B/N o color, fondo blanco, JPG. CredencialImagen de la credencial de la UNAM o INE del estudiante. 2) Por enfermedad Archivo en formato Word Nombre completo (apellido paterno, apellido materno y nombre(s)). Número de cuenta Licenciatura Generación de ingreso a la licenciatura (revisar en historial académico) Sistema (Escolarizado, SUA o SUAYED) Correo Documentos Historia clínica Deberá presentar una historia clínica expedida por una Institución del Sector Salud, donde se detalle la enfermedad que le impide al alumno la realización del servicio social. Otros: Carta de solicitud de exención de servicio social. Fotografía tamaño infantil.Digital, 3 × 2.5 cm, B/N o color, fondo blanco, JPG. CredencialImagen de la credencial de la UNAM o INE del estudiante. Los archivos digitales deben ir en una carpeta llamada “Registro” dentro de una USB. Cuentas con 10 días hábiles desde la fecha de inicio en tu carta de aceptación para completar el trámite; de lo contrario, se cancela. Carta de exención (DOCX) | Enlaces de apoyo: Carta de solicitud de exención de servicio social.: https://www.fca.unam.mx/recursos/servicio_social/solicitud_exencion.doc | Carta de solicitud de exención de servicio social.: https://www.fca.unam.mx/recursos/servicio_social/solicitud_exencion.doc | Carta de exención (DOCX): https://www.fca.unam.mx/recursos/servicio_social/solicitud_exencion.doc"
