Titulación,Categoría,Link,Periodo
Especialización,Imagen,https://titulacion.fca.unam.mx/especializacion.php#consiste,03 al 17 febrero 2026
Examen general de conocimientos,PDF,https://titulacion.fca.unam.mx/examen.php#consiste,27 julio al 13 agosto 2026
Interfacultades,PDF,https://titulacion.fca.unam.mx/interfacultades.php#consiste,16 al 27 de junio 2025
Seminario,Imagen,https://titulacion.fca.unam.mx/seminario.php#consiste,15 al 19 de junio 2026 (según el área de conocimiento)
Tesis y  diseño de un sistema  o proyecto,PDF,https://titulacion.fca.unam.mx/docs/avisos/Convocatoria_Tesis_2027-1.pdf,16 de enero al 06 de febrero 2026
Reglamento,Reglamento,https://titulacion.fca.unam.mx/docs/Reglamento_2026_Abril.pdf,No aplica
Alto nivel,En qué consiste,https://titulacion.fca.unam.mx/alto_nivel.php#consiste,Abierta Permanentemente
Alto nivel,Procedimiento de inscripción,https://titulacion.fca.unam.mx/alto_nivel.php#inscripcion,Abierta Permanentemente
Alto nivel,Convocatoria para título profesional,https://titulacion.fca.unam.mx/alto_nivel.php#convocatoria_titulo,Abierta Permanentemente
Alto nivel,Procedimiento para título profesional,https://titulacion.fca.unam.mx/alto_nivel.php#procedimiento_titulo,Abierta Permanentemente
Diplomado presencial,En qué consiste,https://titulacion.fca.unam.mx/diplomado_presencial.php#consiste,Abierta Permanentemente
Diplomado presencial,Procedimiento de inscripción,https://titulacion.fca.unam.mx/diplomado_presencial.php#inscripcion,Abierta Permanentemente
Diplomado presencial,Horarios y grupos,https://titulacion.fca.unam.mx/diplomado_presencial.php#horarios,Abierta Permanentemente
Diplomado presencial,Temarios,https://titulacion.fca.unam.mx/diplomado_presencial.php#temarios,Abierta Permanentemente
Diplomado presencial,Convocatoria para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_presencial.php#convocatoria_po,Abierta Permanentemente
Diplomado presencial,Procedimiento para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_presencial.php#procedimiento_po,Abierta Permanentemente
Diplomado línea,En qué consiste,https://titulacion.fca.unam.mx/diplomado_linea.php#consiste,Abierta Permanentemente
Diplomado línea,Procedimiento de inscripción,https://titulacion.fca.unam.mx/diplomado_linea.php#inscripcion,Abierta Permanentemente
Diplomado línea,Grupos disponibles,https://titulacion.fca.unam.mx/diplomado_linea.php#horarios,Abierta Permanentemente
Diplomado línea,Temarios,https://titulacion.fca.unam.mx/diplomado_linea.php#temarios,Abierta Permanentemente
Diplomado línea,Convocatoria para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_linea.php#convocatoria_po,Abierta Permanentemente
Diplomado línea,Procedimiento para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_linea.php#procedimiento_po,Abierta Permanentemente
Diplomado línea,Ingreso a la plataforma,https://titulacion.fca.unam.mx/diplomado_linea.php#plataforma,Abierta Permanentemente
Diplomado inglés,En qué consiste,https://titulacion.fca.unam.mx/diplomado_ingles.php#consiste,Abierta Permanentemente
Diplomado inglés,Procedimiento de inscripción,https://titulacion.fca.unam.mx/diplomado_ingles.php#inscripcion,Abierta Permanentemente
Diplomado inglés,Horarios y grupos,https://titulacion.fca.unam.mx/diplomado_ingles.php#horarios,Abierta Permanentemente
Diplomado inglés,Temarios,https://titulacion.fca.unam.mx/diplomado_ingles.php#temarios,Abierta Permanentemente
Diplomado inglés,Convocatoria para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_ingles.php#convocatoria_po,Abierta Permanentemente
Diplomado inglés,Procedimiento para trámite de título profesional,https://titulacion.fca.unam.mx/diplomado_ingles.php#procedimiento_po,Abierta Permanentemente
Diseño,En qué consiste,https://titulacion.fca.unam.mx/disenio.php#consiste,Abierta Permanentemente
Diseño,Procedimiento de inscripción y acreditación,https://titulacion.fca.unam.mx/disenio.php#inscripcion,Abierta Permanentemente
Diseño,Asesores,https://titulacion.fca.unam.mx/disenio.php#asesores,Abierta Permanentemente
